player_id,player_display_name,season_n,season_n1,breakout,touch_share,touches,carries,targets,yards_per_carry,ppr_per_touch,rush_yards_over_expected_per_att,has_ngs_rushing,avg_snap_pct,age,years_exp,draft_number,games_played,ppr_ppg,pos_rank,team_pos_rank,forty,vertical,broad_jump,cone,shuttle,combine_weight
00-0034844,Saquon Barkley,2021,2022,1,0.4910313901345291,219,162,57,3.6604938271604937,0.6785388127853881,-0.2767264892545886,1,0.6169230769230769,24.0,3.0,2.0,13,11.430769230769233,32.0,1.0,4.4,41.0,,,4.24,233.0
00-0034844,Saquon Barkley,2022,2023,0,0.7586912065439673,371,295,76,4.447457627118644,0.7654986522911051,0.3953158374451457,1,0.795,25.0,4.0,2.0,16,17.75,6.0,1.0,4.4,41.0,,,4.24,233.0
00-0034844,Saquon Barkley,2023,2024,0,0.8015665796344648,307,247,60,3.8947368421052633,0.7270358306188924,0.3893385699122722,1,0.7885714285714285,26.0,5.0,2.0,14,15.94285714285714,9.0,1.0,4.4,41.0,,,4.24,233.0
00-0034845,Sony Michel,2018,2019,0,0.3767123287671233,220,209,11,4.454545454545454,0.6322727272727272,-0.2954087495964846,1,0.36,23.0,0.0,31.0,13,10.7,36.0,1.0,4.54,,,,4.21,214.0
00-0034845,Sony Michel,2019,2020,0,0.478494623655914,267,247,20,3.6923076923076925,0.5715355805243445,-0.279167084060422,1,0.3670588235294117,24.0,1.0,31.0,16,9.5375,42.0,1.0,4.54,,,,4.21,214.0
00-0034845,Sony Michel,2020,2021,0,0.20512820512820512,88,79,9,5.6835443037974684,0.8556818181818183,,0,0.3244444444444444,25.0,2.0,31.0,8,9.4125,39.0,4.0,4.54,,,,4.21,214.0
00-0034845,Sony Michel,2021,2022,0,0.5604651162790698,241,208,33,4.0625,0.6070539419087138,-0.2626531458421171,1,0.4566666666666666,26.0,3.0,31.0,17,8.605882352941178,48.0,1.0,4.54,,,,4.21,214.0
00-0034972,Alexander Mattison,2019,2020,0,0.23880597014925373,112,100,12,4.62,0.6107142857142858,0.3615918615675544,1,0.2153333333333333,21.0,0.0,102.0,13,5.261538461538462,68.0,2.0,4.67,35.0,127.0,7.13,4.29,221.0
00-0034972,Alexander Mattison,2020,2021,0,0.22469635627530365,111,96,15,4.520833333333333,0.7828828828828829,0.5479036564840736,1,0.2630769230769231,22.0,1.0,102.0,13,6.684615384615385,60.0,2.0,4.67,35.0,127.0,7.13,4.29,221.0
00-0034972,Alexander Mattison,2021,2022,0,0.3537832310838446,173,134,39,3.6641791044776117,0.7277456647398844,-0.5543274695034727,1,0.354375,23.0,2.0,102.0,16,7.86875,55.0,2.0,4.67,35.0,127.0,7.13,4.29,221.0
00-0034972,Alexander Mattison,2022,2023,0,0.22330097087378642,92,74,18,3.824324324324324,0.9608695652173914,,0,0.2472222222222222,24.0,3.0,102.0,17,5.2,68.0,2.0,4.67,35.0,127.0,7.13,4.29,221.0
00-0034972,Alexander Mattison,2023,2024,0,0.5586034912718204,224,180,44,3.888888888888889,0.5946428571428573,-0.2541227712899943,1,0.548125,25.0,4.0,102.0,16,8.325000000000001,40.0,1.0,4.67,35.0,127.0,7.13,4.29,221.0
00-0034975,Justice Hill,2019,2020,0,0.16441441441441443,73,58,15,3.8793103448275863,0.678082191780822,,0,0.1876470588235294,21.0,0.0,113.0,15,3.3,86.0,3.0,4.4,40.0,130.0,,,198.0
00-0034975,Justice Hill,2022,2023,0,0.15844155844155844,61,49,12,5.346938775510204,0.6885245901639344,,0,0.2643749999999999,24.0,3.0,113.0,13,3.230769230769231,91.0,4.0,4.4,40.0,130.0,,,198.0
00-0034975,Justice Hill,2023,2024,0,0.3137755102040816,123,84,39,4.607142857142857,0.8886178861788617,,0,0.4316666666666667,25.0,4.0,113.0,16,6.83125,48.0,2.0,4.4,40.0,130.0,,,198.0
00-0035217,Benny Snell,2019,2020,0,0.2528216704288939,112,108,4,3.9444444444444446,0.5169642857142857,0.4815854586861496,1,0.2123076923076922,21.0,0.0,122.0,11,5.263636363636364,67.0,3.0,4.66,29.5,119.0,7.07,4.33,224.0
00-0035217,Benny Snell,2020,2021,0,0.31094527363184077,125,111,14,3.315315315315315,0.5992000000000001,-0.3911231008373776,1,0.2517647058823529,22.0,1.0,122.0,15,4.993333333333334,76.0,2.0,4.66,29.5,119.0,7.07,4.33,224.0
00-0035243,Miles Sanders,2019,2020,0,0.4948875255623722,242,179,63,4.569832402234637,0.9037190082644627,-0.3126616061276237,1,0.5370588235294117,22.0,0.0,53.0,16,13.66875,21.0,1.0,4.49,36.0,124.0,6.89,4.19,211.0
00-0035243,Miles Sanders,2020,2021,0,0.6016713091922006,216,164,52,5.286585365853658,0.7888888888888889,0.0506690849650557,1,0.7058333333333334,23.0,1.0,53.0,12,14.2,19.0,1.0,4.49,36.0,124.0,6.89,4.19,211.0
00-0035243,Miles Sanders,2021,2022,0,0.35403726708074534,171,137,34,5.5036496350364965,0.6853801169590643,0.2744616882531921,1,0.5238461538461539,24.0,2.0,53.0,12,9.766666666666667,40.0,1.0,4.49,36.0,124.0,6.89,4.19,211.0
00-0035243,Miles Sanders,2022,2023,0,0.667447306791569,285,259,26,4.899613899613899,0.7603508771929824,0.3653356861146395,1,0.5365,25.0,3.0,53.0,17,12.747058823529413,23.0,1.0,4.49,36.0,124.0,6.89,4.19,211.0
00-0035243,Miles Sanders,2023,2024,0,0.3594080338266385,170,129,41,3.3488372093023258,0.5152941176470588,-0.4196919789222377,1,0.369375,26.0,4.0,53.0,16,5.475,62.0,2.0,4.49,36.0,124.0,6.89,4.19,211.0
00-0035250,Devin Singletary,2019,2020,0,0.5133689839572193,192,151,41,5.132450331125828,0.7703125000000001,0.4025914551084814,1,0.6830769230769231,21.0,0.0,74.0,12,12.325,29.0,1.0,4.66,35.0,117.0,7.32,4.4,203.0
00-0035250,Devin Singletary,2020,2021,0,0.6130952380952381,206,156,50,4.403846153846154,0.6970873786407766,0.2444381713898062,1,0.5926315789473684,22.0,1.0,74.0,16,8.975,45.0,1.0,4.66,35.0,117.0,7.32,4.4,203.0
00-0035250,Devin Singletary,2021,2022,0,0.5935162094763092,238,188,50,4.627659574468085,0.83109243697479,0.089960628266566,1,0.6221052631578947,23.0,2.0,74.0,17,11.63529411764706,29.0,1.0,4.66,35.0,117.0,7.32,4.4,203.0
00-0035250,Devin Singletary,2022,2023,0,0.6273972602739726,229,177,52,4.627118644067797,0.7768558951965066,0.1636306120052714,1,0.6411111111111111,24.0,3.0,74.0,16,11.11875,29.0,1.0,4.66,35.0,117.0,7.32,4.4,203.0
00-0035250,Devin Singletary,2023,2024,0,0.5707865168539326,254,216,38,4.157407407407407,0.6588188976377953,0.1545180905058975,1,0.5736842105263158,25.0,4.0,74.0,17,9.843529411764706,37.0,1.0,4.66,35.0,117.0,7.32,4.4,203.0
00-0035261,Tony Pollard,2019,2020,0,0.2217573221757322,106,86,20,5.290697674418604,0.8415094339622642,1.08808295983435,1,0.1873333333333333,22.0,0.0,128.0,14,6.371428571428572,59.0,2.0,4.52,35.0,121.0,,,210.0
00-0035261,Tony Pollard,2020,2021,0,0.3092105263157895,141,101,40,4.306930693069307,0.8567375886524823,0.1282042831264496,1,0.32875,23.0,1.0,128.0,16,7.55,54.0,2.0,4.52,35.0,121.0,,,210.0
00-0035261,Tony Pollard,2021,2022,0,0.3682008368200837,176,130,46,5.530769230769231,0.9238636363636363,0.8147519774275122,1,0.348125,24.0,2.0,128.0,15,10.84,36.0,2.0,4.52,35.0,121.0,,,210.0
00-0035261,Tony Pollard,2022,2023,0,0.453382084095064,248,193,55,5.217616580310881,1.0032258064516129,1.1718010477312062,1,0.508888888888889,25.0,3.0,128.0,16,15.55,10.0,2.0,4.52,35.0,121.0,,,210.0
